id|tituloPincipal|tituloOriginal|anoLancamento|tempoMinutos|genero|notaMedia|numeroVotos|generoArtista|personagem|nomeArtista|anoNascimento|anoFalecimento|profissao|titulosMaisConhecidos
tt1611947|Ngok toi|Ngok toi|2010|88|Horror|4.5|217|actor|Lok|Suet Lam|1964|\N|actor,miscellaneous,production_manager|tt0373074,tt0250638,tt3504824,tt1075419
tt1614456|Little Deaths|Little Deaths|2011|94|Horror|4.7|3205|actress|Sorrow (segment \House & Home\)|Holly Lucas|\N|\N|actress,soundtrack|tt1172570,tt0154094,tt1614456,tt0184122
tt1615153|Jimmy Tupper vs. the Goatman of Bowie|Jimmy Tupper vs. the Goatman of Bowie|2010|70|Horror|5.8|80|actor|Goatman|Jeris Adomanis|\N|\N|actor|tt1615153
tt16158856|Curse of Humpty Dumpty 2|Curse of Humpty Dumpty 2|2022|79|Horror|3.2|37|actor|Cult Member 1|Chris Cordell|\N|\N|actor|tt19623240,tt18078478,tt19393172,tt13712126
tt16163528|Zombi Ritual|Zombi Ritual|2020|52|Horror|3.0|41|actor|\N|Ronny Sedlag|\N|\N|actor|tt16163528
tt1616506|Barricada|Barricada|2010|90|Horror|7.0|10|actor|Bebo|Jorge L. Berrios|\N|\N|actor|tt1616506
tt1619636|Death Stop Holocaust|Death Stop Holocaust|2009|80|Horror|4.4|190|actress|Taylor Cape|Jenna Fournier|\N|\N|actress,producer,sound_department|tt3690696,tt1619636,tt1971558,tt3832868
tt1620421|Affair|Affair|2010|75|Horror|4.2|70|actor|Daniel|Dimas Aditya|1984|\N|actor|tt1206534,tt13834788,tt1369664,tt21330306
tt1620557|Nightmare Alley|Nightmare Alley|2010|88|Horror|3.1|113|actress|Pool Girl|Tara Carlton|\N|\N|actress|tt1620557,tt2087937,tt4110664,tt4490348
tt1620584|Raped by Saitan (Diperkosa Setan)|Raped by Saitan (Diperkosa Setan)|2010|84|Horror|5.0|45|actress|\N|Cynthiara Alona|1985|\N|actress|tt1308965,tt1556159,tt1620584,tt1817684
tt16210888|Water Monster 2|Shui guai 2: Hei mulin|2021|84|Horror|6.8|24|actor|\N|Ming Gao|\N|\N|actor|tt16210888,tt7547318
tt1621446|The Task|The Task|2011|94|Horror|4.2|3546|actor|Snow|Sean McConaghy|\N|\N|actor,writer,producer|tt6482430,tt2214815,tt7280218,tt1753871
tt1623771|Stitches|Stitches|2010|71|Horror|7.4|26|actress|Fiona|Stefanie Murphy|1984|\N|actress|tt1623771,tt1659193
tt1625327|Fear Not|Fear Not|2011|\N|Horror|6.8|23|actor|Jason Petal|Aaron Perilo|1981|\N|actor,writer|tt0364845,tt1637688,tt1877707,tt0844441
tt1626139|Donner Pass|Donner Pass|2011|86|Horror|4.4|2326|actor|Jed|Russ Russo|1975|\N|actor,writer,producer|tt2403558,tt2070791,tt1330018,tt1861445
tt1626251|Voodoo Rising|Voodoo Rising|2016|82|Horror|2.7|102|actress|Sally|Sarah Domanick|\N|\N|actress|tt1638273,tt1721691,tt1773340,tt5984856
